time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-12T10:53:12.410Z,33.8596667,-118.2881667,14.53,2.5,ml,92,50,0.03716,0.24,ci,ci38147936,2018-04-12T21:20:56.630Z,"3km N of Carson, CA",earthquake,0.18,0.35,0.261,26,reviewed,ci,ci
2018-04-12T08:25:34.090Z,38.774334,-122.7436676,0.38,2.51,md,33,77,0.01042,0.06,nc,nc72998646,2018-04-12T10:13:03.258Z,"1km ESE of The Geysers, CA",earthquake,0.22,0.31,0.21,12,automatic,nc,nc
2018-04-12T06:39:58.780Z,46.937,-121.9645,12,2.99,ml,49,76,0.009708,0.16,uw,uw61362202,2018-04-12T22:17:15.859Z,"23km ENE of Eatonville, Washington",earthquake,0.2,0.51,0.207,33,reviewed,uw,uw
2018-04-12T06:24:40.590Z,38.7910004,-122.4421692,6.84,2.53,md,26,93,0.01537,0.16,nc,nc72998601,2018-04-12T09:05:03.865Z,"10km E of Hidden Valley Lake, CA",earthquake,0.3,0.62,0.2,23,automatic,nc,nc
2018-04-12T01:33:21.400Z,36.2825,-97.501,6.89,2.7,mb_lg,,27,0.216,0.37,us,us2000dyjk,2018-04-12T21:22:35.018Z,"19km W of Perry, Oklahoma",earthquake,1.2,6.5,0.07,53,reviewed,us,us
2018-04-10T22:19:05.770Z,36.2191,-97.3387,5,2.6,mb_lg,,51,0.093,0.32,us,us2000dxtj,2018-04-11T03:11:56.397Z,"9km SSW of Perry, Oklahoma",earthquake,1,1.8,0.142,13,reviewed,us,us
2018-04-10T15:49:10.330Z,41.401,-100.1575,5,3.1,mb_lg,,61,1.335,0.26,us,us2000dxjt,2018-04-11T03:32:20.889Z,"30km ESE of Stapleton, Nebraska",earthquake,2.5,2,0.055,86,reviewed,us,us
2018-04-10T13:23:06.320Z,34.1381667,-117.4238333,4.05,3.01,ml,166,12,0.03393,0.21,ci,ci37912351,2018-04-12T11:11:40.342Z,"6km NE of Fontana, CA",earthquake,0.1,0.26,0.172,296,reviewed,ci,ci
2018-04-10T11:55:02.540Z,41.4377,-100.197,5,2.5,mb_lg,,41,1.309,1.06,us,us2000dxht,2018-04-11T02:27:46.924Z,"Nebraska",earthquake,3.6,2,0.161,10,reviewed,us,us
2018-04-10T11:41:06.990Z,41.3542,-100.1268,5,3.7,mb_lg,,60,1.373,0.7,us,us2000dxhc,2018-04-10T16:34:25.317Z,"35km ESE of Stapleton, Nebraska",earthquake,2.2,2,0.043,143,reviewed,us,us
2018-04-10T10:56:17.050Z,37.6405,-97.8268,5,2.5,mb_lg,,96,0.368,0.69,us,us2000dxg6,2018-04-11T08:40:14.369Z,"4km WNW of Cheney, Kansas",earthquake,2.4,1.9,0.228,5,reviewed,us,us
2018-04-10T10:42:28.880Z,48.6007,-114.7301,11.01,3.2,ml,,103,1.039,0.51,us,us2000dxj2,2018-04-11T13:02:59.223Z,"35km NW of Whitefish, Montana",earthquake,2.5,8.6,0.056,42,reviewed,us,us
2018-04-10T08:52:59.440Z,36.3843346,-120.9658356,6.41,2.52,md,40,112,0.0589,0.1,nc,nc72997626,2018-04-10T09:58:03.132Z,"23km SE of Pinnacles, CA",earthquake,0.31,0.86,0.17,38,automatic,nc,nc
2018-04-10T07:32:38.060Z,46.8748333,-112.5491667,9.9,3.01,ml,23,105,0.197,0.22,mb,mb80288899,2018-04-10T19:59:14.904Z,"13km SE of Lincoln, Montana",earthquake,0.49,0.84,0.297,13,reviewed,mb,mb
2018-04-10T07:19:53.879Z,41.0338,-117.4406,11.2,3,ml,24,108.53,0.625,0.1752,nn,nn00629921,2018-04-11T02:04:45.952Z,"25km ENE of Winnemucca, Nevada",earthquake,,2.8,0.23,17,reviewed,nn,nn
2018-04-10T07:04:12.420Z,33.8348333,-119.7223333,14.31,2.7,ml,46,128,0.1758,0.19,ci,ci37912175,2018-04-11T13:59:17.265Z,"29km SW of Santa Cruz Is. (E end), CA",earthquake,0.27,0.54,0.233,25,reviewed,ci,ci
2018-04-10T06:51:56.260Z,40.6554985,-123.7190018,25.52,2.69,md,23,72,0.2086,0.09,nc,nc72997601,2018-04-11T06:50:16.723Z,"32km SSW of Willow Creek, CA",earthquake,0.39,1.2,0.12,15,automatic,nc,nc
2018-04-09T21:26:40.220Z,36.717,-99.3986,5,2.7,mb_lg,,149,0.464,0.22,us,us2000dx52,2018-04-10T05:29:24.113Z,"24km ESE of Buffalo, Oklahoma",earthquake,1.6,1.9,0.073,49,reviewed,us,us
2018-04-09T16:56:20.800Z,37.356,-118.4066667,8.09,2.73,ml,43,75,0.06239,0.07,nc,nc72997341,2018-04-11T22:34:21.417Z,"2km SW of Bishop, CA",earthquake,0.25,0.59,0.181,6,reviewed,nc,nc
